Generic Name,Drug Class,Common Uses
Acetaminophen,Analgesic,Analgesia/fever
Acyclovir,Antiviral,Herpes infections
Amitriptyline,Tricyclic antidepressant,Depression/neuropathic pain
Amlodipine,Calcium channel blocker,Hypertension/angina
Amoxicillin,Penicillin antibiotic,Bacterial infections
Amoxicillin/Clavulanate,Penicillin + beta-lactamase inhibitor,Bacterial infections
Anastrozole,Aromatase inhibitor,Breast cancer
Apixaban,Factor Xa inhibitor,Anticoagulation
Aripiprazole,Atypical antipsychotic,Schizophrenia/bipolar
Atenolol,Beta blocker,Hypertension
Atorvastatin,Statin,Hyperlipidemia
Azithromycin,Macrolide antibiotic,Bacterial infections
Aztreonam,Monobactam antibiotic,Gram-negative infections

Baclofen,Muscle relaxant,Spasticity
Benzonatate,Antitussive,Cough
Benazepril,ACE inhibitor,Hypertension
Bicalutamide,Androgen receptor antagonist,Prostate cancer
Bisoprolol,Beta blocker,Hypertension/heart failure
Bismuth subsalicylate,Antidiarrheal/antacid,Diarrhea/indigestion
Bupropion,Antidepressant,Depression/smoking cessation
Budesonide,Corticosteroid,Asthma/COPD
Buprenorphine,Partial opioid agonist,Opioid dependence/pain
Buspirone,Anxiolytic,Anxiety

Captopril,ACE inhibitor,Hypertension
Carbamazepine,Anticonvulsant,Seizures/neuropathic pain
Carvedilol,Beta blocker,Heart failure/hypertension
Cefalexin (cephalexin),Cephalosporin antibiotic,Bacterial infections
Ceftriaxone,Third-generation cephalosporin,Bacterial infections
Cefuroxime,Second-generation cephalosporin,Bacterial infections
Celecoxib,COX-2 inhibitor,Pain/inflammation
Cephalexin,Cephalosporin antibiotic,Bacterial infections
Ciprofloxacin,Fluoroquinolone antibiotic,Bacterial infections
Clarithromycin,Macrolide antibiotic,Bacterial infections
Clindamycin,Lincosamide antibiotic,Bacterial infections
Clonazepam,Benzodiazepine,Seizures/anxiety
Clopidogrel,Antiplatelet,Prevent thrombosis
Clozapine,Atypical antipsychotic,Resistant schizophrenia
Codeine,Opioid analgesic,Pain/cough suppression
Colchicine,Anti-gout agent,Gout

Dabigatran,Direct thrombin inhibitor,Anticoagulation
Dalteparin,Low molecular weight heparin,Anticoagulation
Dantrolene,Muscle relaxant,Malignant hyperthermia/spasticity
Darunavir,Protease inhibitor,HIV
Deferoxamine,Iron chelator,Iron overload
Delamanid,Anti-TB agent,Tuberculosis
Desmopressin,Antidiuretic hormone analog,Diabetes insipidus/enuresis
Dexamethasone,Corticosteroid,Inflammation/immune suppression
Dexmedetomidine,Alpha-2 agonist,Sedation
Diazepam,Benzodiazepine,Anxiety/seizures/muscle spasm
Diclofenac,NSAID,Pain/inflammation
Digoxin,Cardiac glycoside,Heart failure/arrhythmia
